Tablecloth Experiment Grid - Summary
============================================================
Date:  2026-02-07 21:42:08.722803
Model: Qwen/Qwen-Image-Edit-2511
LoRA:  Qwen-Image-Edit-2511-Lightning-4steps-V1.0-bf16.safetensors
Seed:  42

Tablecloths tested:
  1. Tan Buffalo Check (120 Round - Tan Buffalo Check.jpg)
  2. Damask Black (120 Round Damask - Black.png)
  3. Pintuck Taffeta Red (120 Round Pintuck Taffeta - Red.jpg)
  4. Woven Celery (120 Round Woven Celery.png)

 Exp    CFG  Steps    Neg Prompt    Prompt Style    Img1    Img2    Img3    Img4    Total
-----------------------------------------------------------------------------------------
   1    1.0      4       minimal        detailed    5.70    5.69    5.69    5.69    23.76
   2    1.0      4       minimal         minimal    5.66    5.67    5.67    5.67    23.65
   3    1.0      4      targeted        detailed    5.70    5.70    5.79    5.89    24.07
   4    1.0      4      targeted         minimal    5.79    5.69    5.68    5.68    23.82
   5    1.0      8       minimal        detailed   11.04   11.01   11.03   11.02    45.11
   6    1.0      8       minimal         minimal   10.98   10.96   10.98   10.97    44.81
   7    1.0      8      targeted        detailed   11.03   11.02   11.04   11.03    45.10
   8    1.0      8      targeted         minimal   10.97   10.96   10.96   10.97    44.80
   9    1.5      4       minimal        detailed   11.07   11.05   11.06   11.08    45.25
  10    1.5      4       minimal         minimal   11.06   11.06   11.05   11.05    45.20
  11    1.5      4      targeted        detailed   11.09   11.09   11.10   11.10    45.35
  12    1.5      4      targeted         minimal   11.09   11.08   11.08   11.10    45.34
  13    1.5      8       minimal        detailed   21.71   21.72   21.73   21.71    87.87
  14    1.5      8       minimal         minimal   21.67   21.68   21.66   21.67    87.74
  15    1.5      8      targeted        detailed   21.85   21.72   21.76   21.80    88.32
  16    1.5      8      targeted         minimal   21.67   21.68   21.67   21.84    87.81
  17    2.0      4       minimal        detailed   11.33   11.17   11.45   12.84    47.84
  18    2.0      4       minimal         minimal   11.65   11.67   12.17   11.07    47.60
  19    2.0      4      targeted        detailed   11.12   11.09   11.10   11.11    45.21
  20    2.0      4      targeted         minimal   11.09   11.09   11.07   11.32    45.34
  21    2.0      8       minimal        detailed   21.86   22.12   21.72   21.76    88.52
  22    2.0      8       minimal         minimal   21.67   21.67   21.68   21.74    87.94
  23    2.0      8      targeted        detailed   21.80   21.83   21.84   21.84    88.36
  24    2.0      8      targeted         minimal   21.82   21.82   21.85   21.80    88.22
  25    2.5      4       minimal        detailed   11.15   11.10   11.11   11.12    45.40
  26    2.5      4       minimal         minimal   11.10   11.12   11.12   11.12    45.44
  27    2.5      4      targeted        detailed   11.23   11.52   11.50   12.12    47.05
  28    2.5      4      targeted         minimal   11.22   11.13   11.10   11.09    45.12
  29    2.5      8       minimal        detailed   21.74   21.72   21.73   21.72    87.89
  30    2.5      8       minimal         minimal   21.66   21.68   21.69   21.71    87.78
  31    2.5      8      targeted        detailed   21.78   21.75   21.76   21.76    88.02
  32    2.5      8      targeted         minimal   21.69   21.65   21.70   21.62    87.62
-----------------------------------------------------------------------------------------

Total runtime across all experiments: 1881.32s (31.4 min)
